professor_name,lecture_name,aspect,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,like,semester,rate,index,url_id,duplicated,duplicated_id,cnt,label,score
Joanne Kim-Yamada,English Listening Practice 1,시험,5282.4,302.4,10346.6,1.0,19.0,56.0,16.0,1628718.0,1.0,2298.0,2.2,,0.0
Joanne Kim-Yamada,English Listening Practice 1,학점,5280.818181818182,300.8181818181818,10345.545454545454,0.09090909090909091,18.90909090909091,76.36363636363636,16.727272727272727,1628718.0,1.0,2297.818181818182,1.7272727272727273,-1.0,0.18181818181818182
Joanne Kim-Yamada,English Reading Practice 1,과제,7302.166666666667,2322.1666666666665,16121.0,0.16666666666666666,19.5,56.666666666666664,6.166666666666667,1788471.0,1.0,3189.1666666666665,1.3333333333333333,,0.0
Joanne Kim-Yamada,English Reading Practice 1,교수,7308.166666666667,2328.1666666666665,16128.5,0.3333333333333333,19.333333333333332,70.0,10.5,1788471.0,1.0,3191.6666666666665,1.0,,0.5
Joanne Kim-Yamada,English Reading Practice 1,수업,7304.7,2324.7,16123.7,0.4,19.5,62.0,7.8,1788471.0,1.0,3190.1,2.4,,0.3
Joanne Kim-Yamada,English Reading Practice 1,시험,7303.5,2323.5,16121.75,0.25,19.75,55.0,6.0,1788471.0,1.0,3189.5,1.75,,0.25
Joanne Kim-Yamada,English Reading Practice 1,학점,7310.5,2330.5,16129.75,0.75,19.25,80.0,11.25,1788471.0,1.0,3192.5,1.5,,0.5
Joanne Taeyoung Kim,English Listening Practice 1,과제,8840.5,3860.5,9857.25,0.0,19.75,95.0,3.5,2022691.0,1.0,3848.75,1.5,,0.75
Joanne Taeyoung Kim,English Listening Practice 1,교수,8842.0,3862.0,9857.666666666666,0.0,19.666666666666668,93.33333333333333,4.0,2022691.0,1.0,3849.0,1.0,,1.0
Joanne Taeyoung Kim,English Listening Practice 1,수업,8842.0,3862.0,9858.666666666666,0.0,19.333333333333332,100.0,4.0,2022691.0,1.0,3849.3333333333335,2.0,,0.6666666666666666
Joanne Taeyoung Kim,English Listening Practice 1,시험,8840.0,3860.0,9856.5,0.0,20.0,90.0,3.5,2022691.0,1.0,3848.5,3.0,,1.0
Joanne Taeyoung Kim,English Listening Practice 1,학점,8839.0,3859.0,9856.0,0.0,20.0,100.0,3.0,2022691.0,1.0,3848.0,4.0,,1.0
Joanne Taeyoung Kim,English Reading Practice 1,과제,7359.0,2379.0,15988.0,0.0,20.0,70.0,1.0,1788477.0,1.0,3214.5,1.0,,0.5
Joanne Taeyoung Kim,English Reading Practice 1,수업,7362.0,2382.0,15989.0,0.0,20.0,60.0,2.0,1788477.0,1.0,3215.0,3.0,,1.0
Joanne Taeyoung Kim,English Reading Practice 1,시험,7360.0,2380.0,15988.0,0.0,20.0,70.0,1.0,1788477.0,1.0,3214.5,2.0,,0.5
Joanne Taeyoung Kim,English Writing 2,과제,2758.0833333333335,2758.0833333333335,15688.833333333334,0.16666666666666666,18.666666666666668,81.66666666666667,6.083333333333333,857520.0,1.0,1202.3333333333333,1.25,,0.16666666666666666
Joanne Taeyoung Kim,English Writing 2,교수,2757.5,2757.5,15688.5,0.5,18.5,90.0,6.5,857520.0,1.0,1202.0,1.0,,0.75
Joanne Taeyoung Kim,English Writing 2,수업,2756.2,2756.2,15684.8,0.0,19.0,80.0,4.0,857520.0,1.0,1201.6,2.6,,0.0
Joanne Taeyoung Kim,English Writing 2,시험,2762.25,2762.25,15694.25,0.25,18.5,82.5,8.375,857520.0,1.0,1204.0,2.25,,0.125
Joanne Taeyoung Kim,English Writing 2,학점,2749.0,2749.0,15677.0,0.0,19.0,100.0,1.0,857520.0,1.0,1198.0,2.0,,1.0
John P. Bernabei,English Listening Practice 1,과제,8833.0,3853.0,10299.0,1.0,20.0,70.0,1.5,2022690.0,1.0,3845.5,1.0,,1.0
John P. Bernabei,English Listening Practice 1,교수,8830.0,3850.0,10297.0,1.0,20.0,100.0,0.0,2022690.0,1.0,3844.0,1.0,,0.0
John P. Bernabei,English Listening Practice 1,시험,8832.0,3852.0,10299.0,1.0,20.0,70.0,1.5,2022690.0,1.0,3845.5,2.0,,1.0
John P. Bernabei,English Listening Practice 1,학점,8829.0,3849.0,10297.0,1.0,20.0,100.0,0.0,2022690.0,1.0,3844.0,2.0,,0.0
John P. Bernabei,English Reading Practice 1,과제,7223.333333333333,2243.3333333333335,15742.111111111111,0.6666666666666666,19.22222222222222,68.88888888888889,10.444444444444445,1788465.0,1.0,3155.8888888888887,1.2222222222222223,,0.5555555555555556
John P. Bernabei,English Reading Practice 1,교수,7226.571428571428,2246.5714285714284,15748.42857142857,0.0,19.0,85.71428571428571,12.0,1788465.0,1.0,3157.285714285714,1.0,,0.5714285714285714
John P. Bernabei,English Reading Practice 1,수업,7226.4,2246.4,15746.1,0.6,18.9,78.0,11.7,1788465.0,1.0,3157.1,2.3,,0.3
John P. Bernabei,English Reading Practice 1,시험,7223.857142857143,2243.8571428571427,15742.285714285714,0.0,19.142857142857142,85.71428571428571,10.428571428571429,1788465.0,1.0,3156.0,1.8571428571428572,,0.14285714285714285
John P. Bernabei,English Reading Practice 1,학점,7233.75,2253.75,15764.75,1.0,18.5,65.0,16.75,1788465.0,1.0,3160.25,2.5,,0.5
John P. Bernabei,English Reading Practice 2,교수,7980.0,3000.0,17137.0,0.0,18.0,100.0,0.0,1870317.0,1.0,3480.0,1.0,,0.0
John P. Bernabei,English Reading Practice 2,시험,7981.0,3001.0,17137.0,0.0,18.0,100.0,0.0,1870317.0,1.0,3480.0,2.0,,0.0
John P. Bernabei,English Writing 2,과제,2723.6666666666665,2723.6666666666665,15558.333333333334,0.0,19.333333333333332,66.66666666666667,9.333333333333334,857509.0,1.0,1188.0,1.3333333333333333,,1.0
John P. Bernabei,English Writing 2,교수,2727.75,2727.75,15567.75,0.5,18.75,70.0,13.0,857509.0,1.0,1189.5,1.0,,0.25
John P. Bernabei,English Writing 2,수업,2725.5,2725.5,15560.75,0.75,18.75,75.0,10.75,857509.0,1.0,1188.5,2.5,,0.0
John P. Bernabei,English Writing 2,시험,2730.5,2730.5,15586.0,0.5,18.0,80.0,19.5,857509.0,1.0,1191.0,2.0,,0.5
John P. Bernabei,English Writing 2,학점,2726.3333333333335,2726.3333333333335,15566.333333333334,0.3333333333333333,19.0,66.66666666666667,11.333333333333334,857509.0,1.0,1188.6666666666667,1.6666666666666667,,0.6666666666666666
Jordan Jamie Green,English Listening Practice 1,과제,8473.25,3493.25,10502.0,0.5,19.75,95.0,3.5,1950592.0,1.0,3690.0,1.5,,1.0
Jordan Jamie Green,English Listening Practice 1,교수,8477.333333333334,3497.3333333333335,10507.333333333334,0.6666666666666666,19.333333333333332,93.33333333333333,6.666666666666667,1950592.0,1.0,3691.6666666666665,1.0,,0.6666666666666666
Jordan Jamie Green,English Listening Practice 1,수업,8476.0,3496.0,10505.666666666666,0.3333333333333333,19.333333333333332,100.0,6.0,1950592.0,1.0,3691.0,2.3333333333333335,,0.6666666666666666
Jordan Jamie Green,English Listening Practice 1,시험,8476.666666666666,3496.6666666666665,10507.666666666666,0.3333333333333333,19.333333333333332,86.66666666666667,7.0,1950592.0,1.0,3691.6666666666665,1.6666666666666667,,0.3333333333333333
Jordan Jamie Green,English Listening Practice 1,학점,8478.5,3498.5,10510.5,0.5,19.0,100.0,9.0,1950592.0,1.0,3692.5,1.5,,0.5
Jordan Jamie Green,English Reading Practice 1,과제,8694.0,3714.0,15919.25,0.0,20.0,100.0,2.25,1950674.0,1.0,3785.75,1.0,,0.25
Jordan Jamie Green,English Reading Practice 1,수업,8697.0,3717.0,15923.0,0.0,20.0,100.0,4.0,1950674.0,1.0,3787.0,2.0,,1.0
Jordan Jamie Green,English Reading Practice 1,시험,8694.0,3714.0,15919.25,0.0,20.0,100.0,2.25,1950674.0,1.0,3785.75,2.0,,0.25
Jordan Jamie Green,English Reading Practice 1,학점,8696.0,3716.0,15923.0,0.0,20.0,100.0,4.0,1950674.0,1.0,3787.0,1.0,,1.0
Jordan Jamie Green,영어듣기연습,과제,9743.0,4763.0,13452.0,0.0,20.0,100.0,0.0,2100233.0,1.0,4228.0,1.0,,1.0
